type,id,name_item,merge_to,sell_price,sum_merge
DairyProducts,2046,Cream Cheese,2047,7,48
DairyProducts,2047,Mozzarella Cheese,2048,13,96
DairyProducts,2048,Feta,2049,26,192
DairyProducts,2049,Cheddar,2050,49,384
DairyProducts,2050,Parmesan,,51,768
GlassProduct,2051,Broken Glass,2052,53,3
GlassProduct,2052,Glass Bowl,2053,1,6
GlassProduct,2053,Crystal Glass,2054,2,12
GlassProduct,2054,Glass Plate,2055,3,24
GlassProduct,2055,Glass Jar,2056,7,48
GlassProduct,2056,Glass Cake Stand,2057,13,96
GlassProduct,2057,Glass Dessert Stand,,26,192
BeefDerivatives,3032,Beef Steak,3033,38,513
BeefDerivatives,3033,Beef Rib,,71,1026
PoultryEgg,3010,Egg,3011,0,1
PoultryEgg,3011,Chicken Wing,3012,1,2
PoultryEgg,3012,Chicken Drumstick,3013,2,4
PoultryEgg,3013,Chicken Breast,3014,3,8
PoultryEgg,3014,Chicken,3015,6,16
PoultryEgg,3015,Duck Breast,3016,12,32
PoultryEgg,3016,Duck,3017,23,64
PoultryEgg,3017,Goose,3018,44,128
PoultryEgg,3018,Quail,3019,84,256
PoultryEgg,3019,Turkey,,158,512
PorkLamb,3020,Bacon,3021,0,1
PorkLamb,3021,Sausage,3022,0,2
PorkLamb,3022,Ham,3023,0,4
PorkLamb,3023,Patty,3024,1,8
PorkLamb,3024,Pork Chop,3025,2,16
PorkLamb,3025,Pock Knuckle,3026,3,32
PorkLamb,3026,Lamb Cube,3027,5,64
PorkLamb,3027,Lamb Chop,3028,10,128
PorkLamb,3028,Leg of Lamb,3029,20,256
PorkLamb,3029,Beef Cube,3030,37,512
PorkLamb,3030,Suckling Pig,3031,70,1024
PorkLamb,3031,Lamb,,131,2048
Vegetables,4010,Tomato,4011,0,1
Vegetables,4011,Cucumber,4012,0,2
Vegetables,4012,Asparagus,4013,0,4
Vegetables,4013,Carrot,4014,1,8
Vegetables,4014,Onion,4015,2,16
Vegetables,4015,Bell Pepper,4016,3,32
Vegetables,4016,Eggplant,4017,5,64
Vegetables,4017,Potato,4018,10,128
Vegetables,4018,Okra,4019,20,256
Vegetables,4019,Corn,4020,37,512
Vegetables,4020,Pea,4021,39,1024
Vegetables,4021,Cherry Tomato,,41,2048
LeafVegetables,4022,Lettuce,4023,0,1
LeafVegetables,4023,Cabbage,4024,1,2
LeafVegetables,4024,Broccoli,4025,2,4
LeafVegetables,4025,Red Cabbage,4026,3,8
LeafVegetables,4026,Cauliflower,4027,6,16
LeafVegetables,4027,Arugula,4028,12,32
LeafVegetables,4028,Spinach,4029,23,64
LeafVegetables,4029,Beet,4030,44,128
LeafVegetables,4030,Button Mushroom,4031,84,256
LeafVegetables,4031,Artichoke,,158,512
Fish,5010,Mackerel,5011,0,1
Fish,5011,Squid,5012,0,2
Fish,5012,Tilapia,5013,0,4
Fish,5013,Eel,5014,1,8
Fish,5014,Cod,5015,3,16
Fish,5015,Salmon,5016,5,32
Fish,5016,Flounder,5017,10,64
Fish,5017,Tuna,5018,20,128
Fish,5018,Mullet,5019,38,256
Fish,5019,Bass,5020,40,512
Fish,5020,Snapper,5021,42,1024
Fish,5021,Trout,,44,2048
Shellfish,5022,Clam,5023,0,1
Shellfish,5023,Mussel,5024,0,2
Shellfish,5024,Oyster,5025,1,4
Shellfish,5025,Shrimp,5026,2,8
Shellfish,5026,Crab,5027,3,16
Shellfish,5027,Scallop,5028,7,32
Shellfish,5028,Escargot,5029,13,64
Shellfish,5029,Lobster,5030,24,128
Shellfish,5030,King Crab,5031,26,256
Shellfish,5031,Abalone,,28,512
BBQRecipe,9006,BBQ Recipe,9007,0,1
BBQRecipe,9007,BBQ Recipe,9008,0,2
BBQRecipe,9008,BBQ Recipe,9009,0,4
BBQRecipe,9009,BBQ Recipe,9010,1,8
BBQRecipe,9010,BBQ Recipe,9011,3,16
BBQRecipe,9011,BBQ Recipe,9012,5,32
BBQRecipe,9012,BBQ Recipe,9013,7,64
BBQRecipe,9013,BBQ Recipe,9014,9,128
BBQRecipe,9014,BBQ Recipe,9015,11,256
BBQRecipe,9015,BBQ Recipe,,13,512
Grain,6010,Red Bean,6011,0,1
Grain,6011,Soy Bean,6012,0,2
Grain,6012,Common Bean,6013,0,4
Grain,6013,Wheat Flour,6014,1,8
Grain,6014,Corn Flour,6015,3,16
Grain,6015,Breadcrumb,6016,5,32
Grain,6016,Rice,6017,7,64
Grain,6017,Rice Flour,6018,9,128
Grain,6018,Buckwheat Flour,6019,13,256
Grain,6019,Chickpea,6020,15,512
Grain,6020,Ube,6021,17,1024
Grain,6021,Yam,,19,2048
Dough,6024,Small Dough,6025,3,9
Dough,6025,Burger Bun,6026,5,18
Dough,6026,Hot Dog Bun,6027,7,36
Dough,6027,Pie Crust,6028,9,72
Dough,6028,Donut Dough,6029,11,144
Dough,6029,Toast Dough,,13,288
ClassicAlcohol,7010,Rice Wine,7011,0,1
ClassicAlcohol,7011,Beer,7012,0,2
ClassicAlcohol,7012,Red Wine,7013,0,4
ClassicAlcohol,7013,Champagne,7014,1,8
ClassicAlcohol,7014,White Wine,7015,3,16
ClassicAlcohol,7015,Sake,7016,5,32
ClassicAlcohol,7016,Soju,7017,7,64
ClassicAlcohol,7017,Plum Wine,7018,9,128
ClassicAlcohol,7018,Tangerine Wine,7019,13,256
ClassicAlcohol,7019,Chinese Liquor,7020,15,512
ClassicAlcohol,7020,Sherry,7021,17,1024
ClassicAlcohol,7021,Rose Sparkling Wine,,19,2048
IconicAlcohol,7022,Brandy,7023,0,1
IconicAlcohol,7023,Gin,7024,0,2
IconicAlcohol,7024,Vermouth,7025,2,4
IconicAlcohol,7025,Absinthe,7026,3,8
IconicAlcohol,7026,Whisky,7027,5,16
IconicAlcohol,7027,Rum,7028,7,32
IconicAlcohol,7028,Vodka,7029,9,64
IconicAlcohol,7029,Tequila,7030,13,128
IconicAlcohol,7030,Vintage Port Wine,,15,256
TouristBaggage,100,Tourist Baggage,101,1,1
TouristBaggage,101,Tourist Baggage,102,2,2
TouristBaggage,102,Tourist Baggage,103,3,4
TouristBaggage,103,Tourist Baggage,104,4,8
TouristBaggage,104,Tourist Baggage,105,5,16
TouristBaggage,105,Tourist Baggage,106,6,32
TouristBaggage,106,Tourist Baggage,,7,64
BaggageItems,107,Bald Eagle Stamp,108,0,1
BaggageItems,108,Hollywood Postcard,109,0,2
BaggageItems,109,Cowboy Hat,110,1,4
BaggageItems,110,American Football,111,33,8
BaggageItems,111,"""I Love MC"" Mug",112,5,16
BaggageItems,112,Fridge Magnet,113,7,32
BaggageItems,113,Las Vegas Badge,114,9,64
BaggageItems,114,Dream Catcher,115,11,128
BaggageItems,115,Hawaiian Tikis,116,13,256
BaggageItems,116,Desk Decoration,,15,512
MuseumGuide,200,Admission Ticket,201,1,1
MuseumGuide,201,Combined Ticket,202,2,2
MuseumGuide,202,Museum Pass,203,3,4
MuseumGuide,203,Collection Catalog,204,4,8
MuseumGuide,204,Exhibition Brochure,205,5,16
MuseumGuide,205,Folded Poster,206,6,32
MuseumGuide,206,Illustration Book,207,7,64
MuseumGuide,207,Pop-up Book,,8,128
MuseumCollection,208,Impressionist Canvas Art,209,0,1
MuseumCollection,209,Cubist Art,210,0,2
MuseumCollection,210,Fauvist Art Piece,211,1,4
MuseumCollection,211,Ballerina Painting,212,33,8
MuseumCollection,212,Artistic Production of Lilies,213,5,16
MuseumCollection,213,Symbolic Sculpture,214,7,32
MuseumCollection,214,Oil-on-Canvas Portrait,215,9,64
MuseumCollection,215,Masterpiece of Renaissance,216,11,128
MuseumCollection,216,Realistic Creation,217,13,256
MuseumCollection,217,Geometric Artwork,,15,512
FrenchRecipe,9026,French Recipe,9027,0,1
FrenchRecipe,9027,French Recipe,9028,0,2
FrenchRecipe,9028,French Recipe,9029,0,4
FrenchRecipe,9029,French Recipe,9030,1,8
FrenchRecipe,9030,French Recipe,9031,3,16
FrenchRecipe,9031,French Recipe,9032,5,32
FrenchRecipe,9032,French Recipe,9033,7,64
FrenchRecipe,9033,French Recipe,9034,9,128
FrenchRecipe,9034,French Recipe,9035,11,0
FrenchRecipe,9035,French Recipe,,13,0
GooseDerivatives,3034,Raw Goose Liver,,44,129
FoxInspiredGift,308,Fox Mask,309,0,1
FoxInspiredGift,309,Fox Wishing Plates,310,1,2
FoxInspiredGift,310,Fox Amulet,311,3,4
FoxInspiredGift,311,Fox Hand Towel,312,5,8
FoxInspiredGift,312,Fox Coin Purse,313,7,16
FoxInspiredGift,313,Fox Wind Bell,314,9,32
FoxInspiredGift,314,Fox Statue,,11,64
JapaneseRecipeBook,9040,Japanese Recipe Book,9041,1,1
JapaneseRecipeBook,9041,Japanese Recipe Book,9042,2,2
JapaneseRecipeBook,9042,Japanese Recipe Book,9043,3,4
JapaneseRecipeBook,9043,Japanese Recipe Book,9044,4,8
JapaneseRecipeBook,9044,Japanese Recipe Book,9045,5,16
JapaneseRecipeBook,9045,Japanese Recipe Book,,6,32
JapaneseRecipe,9046,Japanese Recipe,9047,0,1
JapaneseRecipe,9047,Japanese Recipe,9048,0,2
JapaneseRecipe,9048,Japanese Recipe,9049,0,4
JapaneseRecipe,9049,Japanese Recipe,9050,1,8
JapaneseRecipe,9050,Japanese Recipe,9051,3,16
JapaneseRecipe,9051,Japanese Recipe,9052,5,32
JapaneseRecipe,9052,Japanese Recipe,9053,7,64
JapaneseRecipe,9053,Japanese Recipe,9054,9,128
JapaneseRecipe,9054,Japanese Recipe,9055,11,256
JapaneseRecipe,9055,Japanese Recipe,,13,512
SoybeanDerivatives,6030,Bean Curd Pudding,6031,5,1
SoybeanDerivatives,6031,Bean Curd ,6032,7,2
SoybeanDerivatives,6032,Bean Curd Triangle,6033,13,4
SoybeanDerivatives,6033,Bean Curd Sheet,6034,15,8
SoybeanDerivatives,6034,Bean Curd Sheet Roll,,17,16
SushiMaker,325,Sushi Rolling Mat,,11,1
BambooDerivatives,315,Bamboo Shoot,316,0,1
BambooDerivatives,316,Fresh Bamboo,317,0,2
BambooDerivatives,317,Bamboo Stalks,318,0,4
BambooDerivatives,318,Bamboo Sword,319,1,8
BambooDerivatives,319,Match Tea Set,320,3,16
BambooDerivatives,320,Kendama Toy,321,7,32
BambooDerivatives,321,Kokeshi Doli,322,9,64
BambooDerivatives,322,Bamboo Hand Fan,323,11,128
BambooDerivatives,323,Oil paper Umbrella,324,13,256
BambooDerivatives,324,Lucky Paddle,,15,512
FoxPancake,328,Fox Pancakes,,13,1
MulletDerivatives,5037,Bottarga,5038,38,1
MulletDerivatives,5038,Roe,5039,72,2
MulletDerivatives,5039,Caviar,,135,4
MusselDerivatives,5032,Green Laver,5033,0,3
MusselDerivatives,5033,Nori,5034,13,6
MusselDerivatives,5034,Kelp ,5035,15,12
MusselDerivatives,5035,Wakame,5036,3,24
MusselDerivatives,5036,Sea Grapes,,7,48
CupofMatcha,326,Cup of Matcha,,0,1
MatchaPowder,327,Matcha Powder,,0,1
MatchaPowder,3048,White Nerikiri,3049,5,2
MatchaPowder,3049,Green Nerikiri,3050,7,4
MatchaPowder,3050,Yellow Nerikiri,3051,9,8
MatchaPowder,3051,Pink Nerikiri,3052,11,16
MatchaPowder,3052,Red Nerikiri,3053,13,32
MatchaPowder,3053,Purple Nerikiri,,15,64
AntiqueTreasureBox,400,Antique Treasure Box,401,0,1
AntiqueTreasureBox,401,Antique Treasure Box,402,0,2
AntiqueTreasureBox,402,Antique Treasure Box,403,0,4
AntiqueTreasureBox,403,Antique Treasure Box,404,0,8
AntiqueTreasureBox,404,Antique Treasure Box,405,0,16
AntiqueTreasureBox,405,Antique Treasure Box,406,0,32
AntiqueTreasureBox,406,Antique Treasure Box,407,0,64
AntiqueTreasureBox,407,Antique Treasure Box,,0,128
ChineseCollectible,408,Embroidered Ball,409,0,1
ChineseCollectible,409,Cloth Tiger,410,0,2
ChineseCollectible,410,Chinese Knot with Jade,411,0,4
ChineseCollectible,411,Chinese Knot with Jade,412,0,8
ChineseCollectible,412,Go,413,0,16
ChineseCollectible,413,Four Treasures of the Study,414,0,32
ChineseCollectible,414,Porcelain Vase,415,0,64
ChineseCollectible,415,Porcelain Doll,416,0,128
ChineseCollectible,416,Snuff Bottle,417,0,256
ChineseCollectible,417,Ruyi Jade Scepter,,0,512
ChineseRecipe,9066,Chinese Recipe,9067,0,1
ChineseRecipe,9067,Chinese Recipe,9068,0,2
ChineseRecipe,9068,Chinese Recipe,9069,0,4
ChineseRecipe,9069,Chinese Recipe,9070,0,8
ChineseRecipe,9070,Chinese Recipe,9071,0,16
ChineseRecipe,9071,Chinese Recipe,9072,0,32
ChineseRecipe,9072,Chinese Recipe,9073,0,64
ChineseRecipe,9073,Chinese Recipe,9074,0,128
ChineseRecipe,9074,Chinese Recipe,9075,0,256
ChineseRecipe,9075,Chinese Recipe,,0,512
BronzeArtifact,418,Ritual Wine Vessel,419,0,1
BronzeArtifact,419,Food Serving Vessel,420,0,2
BronzeArtifact,420,Roast Duck Oven,421,0,4
BronzeArtifact,421,Tiered Food Carrier,422,0,8
BronzeArtifact,422,Ancient Chinese Cauldron,,0,16
ChineseTea,423,Longjing Green Tea,424,0,1
ChineseTea,424,Tieguanyin Oolong Tea,425,0,2
ChineseTea,425,Pu-erh Fermented Tea,,0,4
RedChiliPepper,430,Red Chili Pepper,,0,1
SpecialtyFruit,426,Hawthorn,427,0,1
SpecialtyFruit,427,Chinese Bayberry,428,0,2
SpecialtyFruit,428,Persimmon,429,0,4
SpecialtyFruit,429,Lychee,,0,8
HotPot,431,Hot Pot,,0,1
SpanishRecipe,9086,Spanish Recipe,9087,0,1
SpanishRecipe,9087,Spanish Recipe,9088,0,2
SpanishRecipe,9088,Spanish Recipe,9089,0,4
SpanishRecipe,9089,Spanish Recipe,9090,0,8
SpanishRecipe,9090,Spanish Recipe,9091,0,16
SpanishRecipe,9091,Spanish Recipe,9092,0,32
SpanishRecipe,9092,Spanish Recipe,9093,0,64
SpanishRecipe,9093,Spanish Recipe,9094,0,128
SpanishRecipe,9094,Spanish Recipe,9095,0,256
SpanishRecipe,9095,Spanish Recipe,,0,512
SpanishCeramics,508,Ceramic Clay,509,0,1
SpanishCeramics,509,Grid Pattern Ceramic Tile,510,0,2
SpanishCeramics,510,Colorful Ceramic Tile,511,0,4
SpanishCeramics,511,	Ceramic Bowl,512,0,8
SpanishCeramics,512,	Ceramic Jar,513,0,16
SpanishCeramics,513,	Ceramic Vase,514,0,32
SpanishCeramics,514,Ceramic Plate Decor,515,0,64
SpanishCeramics,515,	Ceramic Flamenco Dancer,,0,128
SpanishWoodwork,516,Log Bundle,517,0,1
SpanishWoodwork,517,Cantabrian Albarcas,518,0,2
SpanishWoodwork,518,	Flamenco Castanets,519,0,4
SpanishWoodwork,519,Bongo Drums,520,0,8
SpanishWoodwork,520,	Flamenco Guitar,521,0,16
SpanishWoodwork,521,Carved Wood Bull,522,0,32
SpanishWoodwork,522,Carved Wood Matador,523,0,64
SpanishWoodwork,523,Spanish Bota Bag,,0,128
SpanishSpices,524,Saffron,525,0,1
SpanishSpices,525,Paprika,,0,2
FlamencoAccessories,526,Flamenco Flower,527,0,1
FlamencoAccessories,527,Flamenco Tassel Earrings,528,0,2
FlamencoAccessories,528,Flamenco Decorative Comb,529,0,4
FlamencoAccessories,529,Flamenco Lace Hand Fan,,0,8
MexicanRecipeBook,9100,Mexican Recipe Book,9101,0,1
MexicanRecipeBook,9101,Mexican Recipe Book,9102,0,2
MexicanRecipeBook,9102,Mexican Recipe Book,9103,0,4
MexicanRecipeBook,9103,Mexican Recipe Book,9104,0,8
MexicanRecipeBook,9104,Mexican Recipe Book,9105,0,16
MexicanRecipeBook,9105,Mexican Recipe Book,,0,32
MexicanRecipe,9106,Mexican Recipe,9107,0,1
MexicanRecipe,9107,Mexican Recipe,9108,0,2
MexicanRecipe,9108,Mexican Recipe,9109,0,4
MexicanRecipe,9109,Mexican Recipe,9110,0,8
MexicanRecipe,9110,Mexican Recipe,9111,0,16
MexicanRecipe,9111,Mexican Recipe,9112,0,32
MexicanRecipe,9112,Mexican Recipe,9113,0,64
MexicanRecipe,9113,Mexican Recipe,9114,0,128
MexicanRecipe,9114,Mexican Recipe,9115,0,256
MexicanRecipe,9115,Mexican Recipe,,0,512
MexicanBuildings,600,Mexican Buildings,601,0,1
MexicanBuildings,601,Mexican Buildings,602,0,2
MexicanBuildings,602,Mexican Buildings,603,0,4
MexicanBuildings,603,Mexican Buildings,604,0,8
MexicanBuildings,604,Mexican Buildings,605,0,16
MexicanBuildings,605,Mexican Buildings,606,0,32
MexicanBuildings,606,Mexican Buildings,607,0,64
MexicanBuildings,607,Mexican Buildings,,0,128
MexicanFolkArt,608,Papel Picado,609,0,1
MexicanFolkArt,609,Mexican Basket,610,0,2
MexicanFolkArt,610,Sombrero,611,0,4
MexicanFolkArt,611,Diablo Mask,612,0,8
MexicanFolkArt,612,Piñata,613,0,16
MexicanFolkArt,613,Alebrije,614,0,32
MexicanFolkArt,614,Mexican Tree of Life,,0,64
PricklyPearSeries,615,Young Prickly Pear,616,0,1
PricklyPearSeries,616,Mature Prickly Pear,617,0,2
PricklyPearSeries,617,Blooming Prickly Pear,618,0,4
PricklyPearSeries,618,Ripe Prickly Pear,,0,8
HibiscusFlower,628,Hibiscus Flower,,0,1
LatinFruits,619,	Prickly Pear Fruit,620,0,1
LatinFruits,620,Avocado,621,0,2
LatinFruits,621,	Guava,622,0,4
LatinFruits,622,	Grapefruit,,0,8
MexicanSauces,623,Red Salsa,624,0,1
MexicanSauces,624,Guajillo Chile Salsa,625,0,2
MexicanSauces,625,Green Salsa,626,0,4
MexicanSauces,626,Mole Sauce,627,0,8
MexicanSauces,627,Guacamole,,0,16
