type,id,name_item,merge_to,sell_price,sum_merge
FrenchRecipeBook,9021,French Recipe Book,9022,2,2
FrenchRecipeBook,9022,French Recipe Book,9023,3,4
FrenchRecipeBook,9023,French Recipe Book,9024,4,8
FrenchRecipeBook,9024,French Recipe Book,9025,5,16
FrenchRecipeBook,9025,French Recipe Book,,6,32
JapaneseAttraction,300,Japanese Attraction,301,0,1
JapaneseAttraction,301,Japanese Attraction,302,0,2
JapaneseAttraction,302,Japanese Attraction,303,0,4
JapaneseAttraction,303,Japanese Attraction,304,1,8
JapaneseAttraction,304,Japanese Attraction,305,3,16
JapaneseAttraction,305,Japanese Attraction,306,5,32
JapaneseAttraction,306,Japanese Attraction,307,7,64
JapaneseAttraction,307,Japanese Attraction,,9,128
ChineseRecipeBook,9060,Chinese Recipe Book,9061,0,1
ChineseRecipeBook,9061,Chinese Recipe Book,9062,0,2
ChineseRecipeBook,9062,Chinese Recipe Book,9063,0,4
ChineseRecipeBook,9063,Chinese Recipe Book,9064,0,8
ChineseRecipeBook,9064,Chinese Recipe Book,9065,0,16
ChineseRecipeBook,9065,Chinese Recipe Book,,0,32
SpanishRecipeBook,9080,Spanish Recipe Book,9081,0,1
SpanishRecipeBook,9081,Spanish Recipe Book,9082,0,2
SpanishRecipeBook,9082,Spanish Recipe Book,9083,0,4
SpanishRecipeBook,9083,Spanish Recipe Book,9084,0,8
SpanishRecipeBook,9084,Spanish Recipe Book,9085,0,16
SpanishRecipeBook,9085,Spanish Recipe Book,,0,32
CraftToolStorage,500,Color Fan Deck,501,0,1
CraftToolStorage,501,Wooden Slide Box,502,0,2
CraftToolStorage,502,Toolbox,503,0,4
CraftToolStorage,503,Toolbox,504,0,8
CraftToolStorage,504,Toolbox,505,0,16
CraftToolStorage,505,Drawer Toolbox,506,0,32
CraftToolStorage,506,Drawer Toolbox,507,0,64
CraftToolStorage,507,Drawer Toolbox,,0,128
